Part,Location,Model,Date,Value
PD1399,A,XGBoost,2025-04-01,380.4029846191406
PD1399,A,XGBoost,2025-05-01,584.2495727539062
PD1399,A,XGBoost,2025-06-01,724.1661376953125
PD1399,A,XGBoost,2025-07-01,724.981201171875
PD1399,A,XGBoost,2025-08-01,745.7671508789062
PD1399,A,XGBoost,2025-09-01,744.0230712890625
PD1399,A,XGBoost,2025-10-01,765.4287109375
PD1399,A,XGBoost,2025-11-01,670.13525390625
PD1399,A,XGBoost,2025-12-01,572.1487426757812
PD1399,A,N-HiTS,2025-01-01,353.91615832694174
PD1399,A,N-HiTS,2025-02-01,350.13176958906604
PD1399,A,N-HiTS,2025-03-01,394.83149090523904
PD1399,A,N-HiTS,2025-04-01,354.7549784719792
PD1399,A,N-HiTS,2025-05-01,451.82602751239745
PD1399,A,N-HiTS,2025-06-01,612.6689760376216
PD1399,A,N-HiTS,2025-07-01,819.1996172204418
PD1399,A,N-HiTS,2025-08-01,912.1628483265507
PD1399,A,N-HiTS,2025-09-01,950.6839892509483
PD1399,A,N-HiTS,2025-10-01,866.7556636163091
PD1399,A,N-HiTS,2025-11-01,734.4649339322507
PD1399,A,N-HiTS,2025-12-01,660.512813306273
PD1399,A,ETS,2025-01-01,566.2043679025863
PD1399,A,ETS,2025-02-01,565.4309165054972
PD1399,A,ETS,2025-03-01,569.4453897467318
PD1399,A,ETS,2025-04-01,556.9695460557318
PD1399,A,ETS,2025-05-01,609.9584494841761
PD1399,A,ETS,2025-06-01,835.2015012136623
PD1399,A,ETS,2025-07-01,838.2008132427077
PD1399,A,ETS,2025-08-01,881.7324188894856
PD1399,A,ETS,2025-09-01,834.2126069847665
PD1399,A,ETS,2025-10-01,810.7182422036022
PD1399,A,ETS,2025-11-01,685.9785787124422
PD1399,A,ETS,2025-12-01,622.9999286136152
PD1399,A,Weighted Ensemble,2025-01-01,538.9597839333861
PD1399,A,Weighted Ensemble,2025-02-01,519.6094520831962
PD1399,A,Weighted Ensemble,2025-03-01,588.2997244746321
PD1399,A,Weighted Ensemble,2025-04-01,500.74713092262004
PD1399,A,Weighted Ensemble,2025-05-01,631.335056616123
PD1399,A,Weighted Ensemble,2025-06-01,808.9077865006834
